document_id,set,question,answer1,answer2,question_tokenized,answer1_tokenized,answer2_tokenized
3c3dcc7b23c9b81de635e563ed1ee52b52a895c0,train,Who is William?,Kaiser Wilhelm II.,Kaiser Wlihelm II,Who is William ?,Kaiser Wilhelm II .,Kaiser Wlihelm II
3c55bc1a4ea2c18df8939f9e849eef88150088dd,test,Who is Engels?,The eldest son of textile industrialist,"eldest son of a successful German textile industrialist, and got involved with radical journalism during his formative years",Who is Engels ?,The eldest son of textile industrialist,"eldest son of a successful German textile industrialist , and got involved with radical journalism during his formative years"
3c5a131da6f43e2f92dce91aa238e6782e428748,valid,Who is Indian Jones' son?,Mutt Williams,Mutt,Who is Indian Jones ' son ?,Mutt Williams,Mutt
3d20c51d711c74ec6eedf15e7550f70ed6d17e6f,test,Who was Henry Playel?,The brother of Theodore's wife Catherine and Clara's love interest.,catharine's brother,Who was Henry Playel ?,The brother of Theodore s wife Catherine and Clara s love interest .,catharine s brother
3d248aa8bba34b3f5199c1aed1443b9fa3395d03,train,Who is Pete Dayton?,A young auto mechanic who was found in place of Fred at the prison cell.,A young auto mechanic who was found in Franks cell,Who is Pete Dayton ?,A young auto mechanic who was found in place of Fred at the prison cell .,A young auto mechanic who was found in Franks cell
3d248aa8bba34b3f5199c1aed1443b9fa3395d03,train,Who is Eddie's mistress?,Alice Wakefield,alice wakefield,Who is Eddie s mistress ?,Alice Wakefield,alice wakefield
3d59cad31537c384e1fde9cc33c518595115a621,train,Who is Frederick Lovel?,Earl Lovel's distant cousin.,Lord Lovel's distant cousin.,Who is Frederick Lovel ?,Earl Lovel s distant cousin .,Lord Lovel s distant cousin .
3dddbcc83358a72adfd1c957ae3cbfc1d194a143,test,WHO IS MADAME D'ESTREES TO KITTY BRISTOL?,HER MOTHER,Her mother,WHO IS MADAME D'ESTREES TO KITTY BRISTOL ?,HER MOTHER,Her mother
3e1d81664f7e7386e7b392ba670be09e3cf857ab,test,Who is Ellen to Rosemary?,Her sister,Ellen is Rosemary's sister.,Who is Ellen to Rosemary ?,Her sister,Ellen is Rosemary s sister .
3e7f4a7762e1820edce17e273d8d03791647c9ae,train,Who is Edmund Widowson?,Monica Madden's husband.,Monicas husband.,Who is Edmund Widowson ?,Monica Madden s husband .,Monicas husband .
3e9236a2abd5ae86c11292235cde0648042a60a0,train,Who is Luke Rowan?,A man from London who inherited an interest in a local brewery. ,part owner of a local brewery and the young man Rachel falls in love with,Who is Luke Rowan ?,A man from London who inherited an interest in a local brewery .,part owner of a local brewery and the young man Rachel falls in love with
3e9666459feb414586d9d23b51c8a020bacc150a,train,Who is Attwater?,An upper-class Englishman they discovered at an unknown island,an upper class English man living on an island,Who is Attwater ?,An upper-class Englishman they discovered at an unknown island,an upper class English man living on an island
3ed7c9dd02debf305c8bcf19afc9860e8d395d61,test,Who is Gallegos' low-level street supplier?,Eddie Dudley,Eddie Dudley.,Who is Gallegos ' low-level street supplier ?,Eddie Dudley,Eddie Dudley .
3ef60c15b2829459347df39e18ba10598e57e743,train,Who is Patrick?,He is the leader of the cult.,The leader of the cult Martha became involved in.,Who is Patrick ?,He is the leader of the cult .,The leader of the cult Martha became involved in .
3f596a5be9de38b6f63b6c4b92021fe78d403e80,test,Who is Savrola?                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               Who is Savrola?                                                                                                                                                                                                                                                       ,The revolution leader.,Savrola is a leader of the revolutionaries during the civil war.,Who is Savrola ? Who is Savrola ?,The revolution leader .,Savrola is a leader of the revolutionaries during the civil war .
401274da0bb38ce2581280e3b557744d176bd66f,train,Who is Racer X?,Rex Racer.,"Racer X is Speed's brother, Rex, in disguise.",Who is Racer X ?,Rex Racer .,"Racer X is Speed s brother , Rex , in disguise ."
403479540337f035a011f0ea84b4770e31e18207,test,Who is McClane's wife?,Holly,holly,Who is McClane s wife ?,Holly,holly
405df1ccf0409ea6040c2a765a0315878f991d79,train,Who is Henry's mistress?,Janice Rossi,Janice Rossi,Who is Henry s mistress ?,Janice Rossi,Janice Rossi
407624e45c153cdd848f539d37ca8b5d448f9580,train,Who is Vada?,She is an 11-year old tomboyish girl.,an 11 year old tomboyish girl,Who is Vada ?,She is an 11-year old tomboyish girl .,an 11 year old tomboyish girl
407624e45c153cdd848f539d37ca8b5d448f9580,train,Who is Thomas J. Sennett?,He is Vada's best friend who has too many allergies to count,an unpopular boy with a lot of allergies,Who is Thomas J. Sennett ?,He is Vada s best friend who has too many allergies to count,an unpopular boy with a lot of allergies
40a0872b40344eac6dfdc73e7bbb984e5ac49bac,train,Who is Bini Aru?,Kiki's father,a munchkin,Who is Bini Aru ?,Kiki s father,a munchkin
411d53d3c5c42990aebb7cb0bf4964f8d0a6f0bc,train,Who is Bruno?,Bruno is Sonny Red's son.,Sonny Red's son,Who is Bruno ?,Bruno is Sonny Red s son .,Sonny Red s son
411d53d3c5c42990aebb7cb0bf4964f8d0a6f0bc,train,Who is Richie Gazzo?,Richie is a FBI agent based in Miami.,FBI Agent,Who is Richie Gazzo ?,Richie is a FBI agent based in Miami .,FBI Agent
416afcae95d4bf4b661db770cab8fd7ede5a06f7,train,Who is their regular accomplice?,Bang Bang,Bang Bang a explosive expert.,Who is their regular accomplice ?,Bang Bang,Bang Bang a explosive expert .
416afcae95d4bf4b661db770cab8fd7ede5a06f7,train,Who is Penelope?,A rich socialite from New Jersey,A rich heiress.,Who is Penelope ?,A rich socialite from New Jersey,A rich heiress .
424b3b5481b6fa3c49c83f8c347e7ccac9ceb163,train,Who is Deborah to Wolfe?,She is his cousin.,She is his cousin.,Who is Deborah to Wolfe ?,She is his cousin .,She is his cousin .
424b3b5481b6fa3c49c83f8c347e7ccac9ceb163,train,Who is Wolfe's cousin?,Deborah,Deborah,Who is Wolfe s cousin ?,Deborah,Deborah
424b3b5481b6fa3c49c83f8c347e7ccac9ceb163,train,Who is Kirby's son?,Clarke,Clarke,Who is Kirby s son ?,Clarke,Clarke
432cfe548f1f51045f8cba8f8f50e4e0e47a0771,train,Who was Maurice a secretary to? ,Count Octave,Count Octave.,Who was Maurice a secretary to ?,Count Octave,Count Octave .
44287f57e8bc2b329dbd0d5750e6747781ae50fe,train,Who is Neverbend's son?,Jack,Jack,Who is Neverbend s son ?,Jack,Jack
44287f57e8bc2b329dbd0d5750e6747781ae50fe,train,Who is Britanula's oldest citizen?,Gabriel Crasweller,Gabriel Crasweller,Who is Britanula s oldest citizen ?,Gabriel Crasweller,Gabriel Crasweller
44287f57e8bc2b329dbd0d5750e6747781ae50fe,train,Who is Britannula's oldest citizen?,"Gabriel Crasweller, he was born in 1913",crawsweller ,Who is Britannula s oldest citizen ?,"Gabriel Crasweller , he was born in 1913",crawsweller
44287f57e8bc2b329dbd0d5750e6747781ae50fe,train,Who is Abraham Grundle?,"a young senator that believe as Neverbend does, but is engaged to Crasweller's daughter",A young Senator.,Who is Abraham Grundle ?,"a young senator that believe as Neverbend does , but is engaged to Crasweller s daughter",A young Senator .
44cd7b845627af65bf84e6ce3bfc8cfab5bf7b7c,train,Who is Diego to Emily?,one of her cases,one of her cases,Who is Diego to Emily ?,one of her cases,one of her cases
456e5a330da462f6fca6766a90b843e47d288e9c,train,Who was Rantaine?,A swindler who stole money from Mess Lethierry.,A swindler who stole from Mess Lethierry in the past.,Who was Rantaine ?,A swindler who stole money from Mess Lethierry .,A swindler who stole from Mess Lethierry in the past .
46117f49c49ea357ba44983898397b0f5643af05,train,Who is Nuflo?,Rima's grandfather,An old man who protects his granddaughter Rima.,Who is Nuflo ?,Rima s grandfather,An old man who protects his granddaughter Rima .
46a5ee8bbf57f56ad5472e0712e98370b734145d,train,Who is a celebrity photographer?,John,Charlotte's husband John,Who is a celebrity photographer ?,John,Charlotte s husband John
46c83ab910bbf794c07735c7d55af442a54d090b,train,Who is Patrick?,A lacuna employee who erases memories.,Lacuna's tech,Who is Patrick ?,A lacuna employee who erases memories .,Lacuna s tech
46cf28a716c255263334b3baca9fc759c44d8766,train,Who is Chango?,A hit man. ,a hit-man,Who is Chango ?,A hit man .,a hit-man
46e592f1fd929d9d815e5d48dad8e766c02e9ce5,train,Who is responsible for the death of Ethan?,Kym,Kym.,Who is responsible for the death of Ethan ?,Kym,Kym .
48266045f2dbe4de0cea552d3ec8ffb541c5e182,train,Who is Irvings wife?,Rosalyn,Rosalyn,Who is Irvings wife ?,Rosalyn,Rosalyn
485b86c3ffec91e89fbc846985944adc0cf73c80,test,Who is Indefer Jones' only male relative?,"His nephew, Henry Jones.",His nephew Henry Jones,Who is Indefer Jones ' only male relative ?,"His nephew , Henry Jones .",His nephew Henry Jones
485b86c3ffec91e89fbc846985944adc0cf73c80,test,Who is Indefer's niece?,Isabel Brodrick,Isabel.,Who is Indefer s niece ?,Isabel Brodrick,Isabel .
485b86c3ffec91e89fbc846985944adc0cf73c80,test,Who is Indefer's only male heir?,his nephew Henry Jones,Henry.,Who is Indefer s only male heir ?,his nephew Henry Jones,Henry .
4928fbeba0cc0a49fee877943c00d3a155985efc,train,Who is Najid?,The son of Najma.,Najma's son,Who is Najid ?,The son of Najma .,Najma s son
492dd783e10bce6daf818b550715b9e2c73252dc,train,Who is Voivode?,Parent of Teuta ,Teuta's dad ,Who is Voivode ?,Parent of Teuta,Teuta s dad
492f2d56eba93816e7d0958e2ba62d36d93bc97e,test,Who is Chloe to Jessica?,her daughter,Her daughter.,Who is Chloe to Jessica ?,her daughter,Her daughter .
492f2d56eba93816e7d0958e2ba62d36d93bc97e,test,Who is Horace?,An associate of both Max and Ruiz.,"Horrace is connected to Max and Ruiz, Bobby and Ricky meet him in New York",Who is Horace ?,An associate of both Max and Ruiz .,"Horrace is connected to Max and Ruiz , Bobby and Ricky meet him in New York"
4a671a90328ce7556f2582b163269a5e4c5aa5db,train,Who is Michaela?,Jakob's second wife,Jakob's second wife. ,Who is Michaela ?,Jakob s second wife,Jakob s second wife .
4a796aac281a1ec7280c9cf1bbf199757ad8a6f1,test,Who is Reginald Bliss?,A fictional character who is taking the writings of another fictional character and passing them off as his own.,a literary character,Who is Reginald Bliss ?,A fictional character who is taking the writings of another fictional character and passing them off as his own .,a literary character
4a796aac281a1ec7280c9cf1bbf199757ad8a6f1,test,Who is Hallery?,One of Boon's characters who is obsessed with the Mind of the Race,"A person who is ""fanatically obsessed by [the] idea of the Mind of the Race.""",Who is Hallery ?,One of Boon s characters who is obsessed with the Mind of the Race,A person who is fanatically obsessed by [ the ] idea of the Mind of the Race .
4a796aac281a1ec7280c9cf1bbf199757ad8a6f1,test,Who is Edwin Dodd?,A member of the Rationalist Press Association,A leading member of the Rationalist Press Association.,Who is Edwin Dodd ?,A member of the Rationalist Press Association,A leading member of the Rationalist Press Association .
4b166acdb5c93528532ddc12451c7f0befb8d212,train,Who is Clemenza?,A Detective that investigates Frye,Clemenza is the detective investigating the case,Who is Clemenza ?,A Detective that investigates Frye,Clemenza is the detective investigating the case
4b166acdb5c93528532ddc12451c7f0befb8d212,train,Who was Hilary Thomas in a romantic relationship with?,Detective Tony Clemenza,"Tony Clemenza, the detective",Who was Hilary Thomas in a romantic relationship with ?,Detective Tony Clemenza,"Tony Clemenza , the detective"
4b5d8c80075afad5ee734fa4bc84a80574a02675,train,Who was behind the sniper killings?,A Russian gang.,Russian gang's boss,Who was behind the sniper killings ?,A Russian gang .,Russian gang s boss
4b5d8c80075afad5ee734fa4bc84a80574a02675,train,Who is Barr's sister?,Rosemary,Rosemary,Who is Barr s sister ?,Rosemary,Rosemary
4b687c107c958aa724d6cb584e692bb1b065caaf,train,Who is Carruthers?,A minor official in a foreign office,A minor official in the foreign office,Who is Carruthers ?,A minor official in a foreign office,A minor official in the foreign office
4b687c107c958aa724d6cb584e692bb1b065caaf,train,Who is Dollman?,An ex-patriot Englishman who is trying to recover a hidden treasure on Memmert Island.,An expatriate Englishman,Who is Dollman ?,An ex-patriot Englishman who is trying to recover a hidden treasure on Memmert Island .,An expatriate Englishman
4bb855bbb2a0da63ac5717c87aba8883b829201e,train,Who is Gabrielle?,One of Vaughan's followers,A member of Vaughan's Cult who hooks up with Ballard.,Who is Gabrielle ?,One of Vaughan s followers,A member of Vaughan s Cult who hooks up with Ballard .
4bb855bbb2a0da63ac5717c87aba8883b829201e,train,Who is Catherine?,Mr. Ballard's wife,A film producers wife played by Debora Unger,Who is Catherine ?,Mr. Ballard s wife,A film producers wife played by Debora Unger
4c428ffec939a3607a4da2e68ca684c03f6e8959,train,Who is Katharine's cousin?,Thomas Culpeper,Thomas Culpeper,Who is Katharine s cousin ?,Thomas Culpeper,Thomas Culpeper
4c428ffec939a3607a4da2e68ca684c03f6e8959,train,Who is Lady Mary?,The king's eldest daughter,King Henry's eldest daughter.,Who is Lady Mary ?,The king s eldest daughter,King Henry s eldest daughter .
4c428ffec939a3607a4da2e68ca684c03f6e8959,train,Who is Thomas Cromwell?,The Lord Privy Seal,The Lord Privy Seal,Who is Thomas Cromwell ?,The Lord Privy Seal,The Lord Privy Seal
4d9f09db509c6ee9f523b2499ed019af1d762c21,test,Who is La?,La is the high priestess that serves the Flaming God of Opar.,A high priestess.,Who is La ?,La is the high priestess that serves the Flaming God of Opar .,A high priestess .
4d9f09db509c6ee9f523b2499ed019af1d762c21,test,Who is Albert Werper?,Someone hired by a criminal to follow Tarzan.,Belgian officer,Who is Albert Werper ?,Someone hired by a criminal to follow Tarzan .,Belgian officer
4d9f09db509c6ee9f523b2499ed019af1d762c21,test,Who is La?,The high priestess and servant to the Flaming God of Opar.,A priestess who is a servant of the Flaming God of Opar.,Who is La ?,The high priestess and servant to the Flaming God of Opar .,A priestess who is a servant of the Flaming God of Opar .
4dcfb547a77a706c9436a0e1960c0a9ffd1ec18f,train,Who is Mary's Uncle?,Archibald Crane,Archibald Craven,Who is Mary s Uncle ?,Archibald Crane,Archibald Craven
4e075eb7a0ce3017e38cfa6fe3e558591f36ea77,train,Who is their only visitor?,Danny,Local drug dealer Danny,Who is their only visitor ?,Danny,Local drug dealer Danny
4e075eb7a0ce3017e38cfa6fe3e558591f36ea77,train,Who was Monty?,Withnail Uncle?,Withnail's uncle and a homosexual.,Who was Monty ?,Withnail Uncle ?,Withnail s uncle and a homosexual .
4e959a5d22e1968a1950ac836a1ba0cc3edffa41,valid,Who is Mrs.Graham's son?,Arthur.,Arthur.,Who is Mrs.Graham s son ?,Arthur .,Arthur .
4e959a5d22e1968a1950ac836a1ba0cc3edffa41,valid,Who is Mr Lawrence to Mrs Helen Graham?,Her brother.,her brother,Who is Mr Lawrence to Mrs Helen Graham ?,Her brother .,her brother
4f17e590323c45bf12f789e5990d6ab90698671a,train,Who is Tess?,Sam Bells wife.,Sam's wife,Who is Tess ?,Sam Bells wife .,Sam s wife
505d50d3d0e05c17a28348c30da57b00118b81fd,train,Who is Bajazeth?,The Emperor of the Turks.,Emporer of Turks,Who is Bajazeth ?,The Emperor of the Turks .,Emporer of Turks
505d50d3d0e05c17a28348c30da57b00118b81fd,train,Who is Callapine?,Bajazeth's son,son of bajazeth,Who is Callapine ?,Bajazeth s son,son of bajazeth
505d50d3d0e05c17a28348c30da57b00118b81fd,train,Who is Bajazeth?,Emperor of the Turks,Emperor of the Turks,Who is Bajazeth ?,Emperor of the Turks,Emperor of the Turks
505d50d3d0e05c17a28348c30da57b00118b81fd,train,Who is Bajazeth's wife?,Zabina,Zabina,Who is Bajazeth s wife ?,Zabina,Zabina
518b93650f7e95289f694bccd0fd9f2da1d12369,train,Who is Commodore Hawser Trunnion?,An old seaman who raises Peregrine Pickle.,a seaman and misogynist,Who is Commodore Hawser Trunnion ?,An old seaman who raises Peregrine Pickle .,a seaman and misogynist
518b93650f7e95289f694bccd0fd9f2da1d12369,train,Who is Emelia?,Peregrine's wife,Peregrines beloved,Who is Emelia ?,Peregrine s wife,Peregrines beloved
522b857d537c17bcf6d7457e7b567a7fd50e9f0d,train,Who is Anatole?,Aunt Dahlia's prized chef.,Aunt Dahlia's chef.,Who is Anatole ?,Aunt Dahlia s prized chef .,Aunt Dahlia s chef .
523a2eb1ae686d7bf0e664c89d0a490a7e1a22bc,test,Who is Pamela?,Pamela is the killers mother.,Jason Voorhees' mother,Who is Pamela ?,Pamela is the killers mother .,Jason Voorhees ' mother
536558ac7e53cbcc0602600f3ccc1ba85e05b764,train,Who was Sholmes assistant?,Wilson.,Wilson,Who was Sholmes assistant ?,Wilson .,Wilson
544bc77598d7a9e1229e251e6fc6056c39237037,train,WHO IS DARIAN TO JOE?,HIS DAUGHTER,Darian is Joe's daughter. ,WHO IS DARIAN TO JOE ?,HIS DAUGHTER,Darian is Joe s daughter .
544bc77598d7a9e1229e251e6fc6056c39237037,train,Who is Cory the stripper's boyfriend?,"James ""Jimmy"" Alexander Dix",James Alexander Dix,Who is Cory the stripper s boyfriend ?,James Jimmy Alexander Dix,James Alexander Dix
558b317a28f5d5637fcb08ab030ddcedcf8b167e,test,"Who is Hugo to David, Juliet and Alex? ",Their roommate,A new flatmate. ,"Who is Hugo to David , Juliet and Alex ?",Their roommate,A new flatmate .
55ac84541ede6e0f1106b2e4ab01a2bac2f21e39,test,Who is Tartlet?,"Godfrey's mentor, teacher, and dance instructor.",Godfrey's teacher,Who is Tartlet ?,"Godfrey s mentor , teacher , and dance instructor .",Godfrey s teacher
55d1940b8c8e1c73e175bac2fce0a4f9844fff02,train,Who is Maya?,She's a waitress at his favorite restaurant whom he likes.,a waitress Miles knows,Who is Maya ?,She s a waitress at his favorite restaurant whom he likes .,a waitress Miles knows
567c1a39aff9590875a843a9df35f8c5b880ae27,train,"Who is John Merrick's ""owner""?",Mr. Bytes,Mr. Bytes,Who is John Merrick s owner ?,Mr. Bytes,Mr. Bytes
56dedbff4098a09264f2032bf4242a7196fa0862,test,Who is Lucio?,Satan's incarnation.,The Devil,Who is Lucio ?,Satan s incarnation .,The Devil
570c8d99794d019e34b3ead4b4fcf80bb0fac459,train,Who is Lora Baines? ,Kevin Flynn's ex-girlfriend,Flynn's ex-girlfriend.,Who is Lora Baines ?,Kevin Flynn s ex-girlfriend,Flynn s ex-girlfriend .
570c8d99794d019e34b3ead4b4fcf80bb0fac459,train,Who was Lora Baines?,Kevin Flynn ex-girlfriend,Flynn's ex-girlfriend.,Who was Lora Baines ?,Kevin Flynn ex-girlfriend,Flynn s ex-girlfriend .
570c8d99794d019e34b3ead4b4fcf80bb0fac459,train,Who was Yori?,Tron's love,Trons love,Who was Yori ?,Tron s love,Trons love
570c8d99794d019e34b3ead4b4fcf80bb0fac459,train,Who is Kevin Flynn ex-girlfriend? ,Lora Baines. ,Lora Baines,Who is Kevin Flynn ex-girlfriend ?,Lora Baines .,Lora Baines
570c8d99794d019e34b3ead4b4fcf80bb0fac459,train,Who is Kevin Flynn? ,A software Engeneer. ,A software engineer who runs a video arcade.,Who is Kevin Flynn ?,A software Engeneer .,A software engineer who runs a video arcade .
570e10517cfe77fcda4a810650311dd79f3bcedc,train,Who is Dale?,a medical student who Kirby has had a crush on since college,A Medical Student,Who is Dale ?,a medical student who Kirby has had a crush on since college,A Medical Student
573cdbc4363b1dfe9e2ad983d062dc036b20544f,train,Who is Walt Kowalski?,A cantankerous,A Korean War veteran who recently became a widower,Who is Walt Kowalski ?,A cantankerous,A Korean War veteran who recently became a widower
57669ca4e799e01c9f6e4d1ed2088f7f02765108,train,Who is Weedon Scott?,A gold hunter.,"Weedon Scott is a rich, young gold-hunter.",Who is Weedon Scott ?,A gold hunter .,"Weedon Scott is a rich , young gold-hunter ."
57ac4ad4ce16d18533df2e32d3686aebc7419dba,train,Who is Annie Black?,A local book seller,She is a bookseller,Who is Annie Black ?,A local book seller,She is a bookseller
57dd0337b2fc1821f75618b2ba1e8d78c504b2f8,train,Who is Carter's beloved? ,Dejah Thoris,Dejah Thoris.,Who is Carter s beloved ?,Dejah Thoris,Dejah Thoris .
57dd0337b2fc1821f75618b2ba1e8d78c504b2f8,train,Who is Dejha Thoris?,A Princess of Helium,The princess of Helium.,Who is Dejha Thoris ?,A Princess of Helium,The princess of Helium .
580cca514fc51524f646f8ec306128d42b17b665,train,Who is Leonorina?,she is Espandian's future wife,The child-princess from Constantinople who eventually becomes Esplandian's wife,Who is Leonorina ?,she is Espandian s future wife,The child-princess from Constantinople who eventually becomes Esplandian s wife
581e4f821d5275f6a6e9f4e5b64844d9fd92cd0b,train,Who is Malaga to Thaddee?,An invented mistress.,His mistress,Who is Malaga to Thaddee ?,An invented mistress .,His mistress
599b6ffc75b39b2d8dde708ad37b08dde52fccc0,train,Who was Rosie?,Rosie was an abused circus elephant.,a circus elephant,Who was Rosie ?,Rosie was an abused circus elephant .,a circus elephant
59d290894fce8fcea5e3f5df09e937535ae58893,train,Who is Mummble's?,Patsy's puppy,Patsey's Puppy,Who is Mummble s ?,Patsy s puppy,Patsey s Puppy
5a3c3fa94456d41df5d8711b33687c39f2aa1ca8,test,Who is Crawly's Daughter?,Grace,Grace,Who is Crawly s Daughter ?,Grace,Grace
5ad9844f125d7051ba23edbb8b48a74f4f6102c8,test,Who is Charlie?,He is a 15 year-old boy who is quiet and sensitive. ,shy 15 year old boy,Who is Charlie ?,He is a 15 year-old boy who is quiet and sensitive .,shy 15 year old boy
5ae39df9a568442600cbc2ff2c223e87f2ed4acf,train,Who is Sssuri?,Dalagard's knife brother,Dalagard's knife brother,Who is Sssuri ?,Dalagard s knife brother,Dalagard s knife brother
5c1d04428ffd3f0ddd732a723e61371e0255aa49,train,Who is Melanie Ralston?,A girl who lives with Ordell.,A stoned surfer that lives with Ordell. ,Who is Melanie Ralston ?,A girl who lives with Ordell .,A stoned surfer that lives with Ordell .
5c8b96c00b579c1e89e0ffeedb47e6d122e4c159,train,Who is Earl's daughter?,Jane,Jane,Who is Earl s daughter ?,Jane,Jane
5c8b96c00b579c1e89e0ffeedb47e6d122e4c159,train,Who is Marshall?,Brooks ID ,Brooks's id,Who is Marshall ?,Brooks ID,Brooks s id
5ccdde3f4dcf2b0c2fc2bd386a6b88fe8b3cc29b,valid,Who is Josephine to Sharon?,Her mother.,Her mother,Who is Josephine to Sharon ?,Her mother .,Her mother
5ccdde3f4dcf2b0c2fc2bd386a6b88fe8b3cc29b,valid,Who is Larry to Sharon?,Her brother.,her brother,Who is Larry to Sharon ?,Her brother .,her brother
5d98d6db87225fde51cea450d8712cb6073df2e7,train,Who was Alexander the son of?,The Greek Emperor Alexander ,Greek emperor Alexander,Who was Alexander the son of ?,The Greek Emperor Alexander,Greek emperor Alexander
5d98d6db87225fde51cea450d8712cb6073df2e7,train,Who is Alexander and Soredamors' son?,Cliges,Cliges,Who is Alexander and Soredamors ' son ?,Cliges,Cliges
5d98d6db87225fde51cea450d8712cb6073df2e7,train,Who is Alexander's brother?,Alis,Alis,Who is Alexander s brother ?,Alis,Alis
5df7b23024d86a042fcdcb06ee485d528317a156,test,Who was responsible for the virus?,Dr. Peters.,Cole,Who was responsible for the virus ?,Dr. Peters .,Cole
5ebba624b541052be18e8fe9715dd76d7d2a9f57,train,Who is Mary Graham?,"An orphan girl Martin, Sr raised to be his nursemaid","Mary Graham is the orphan Martin Chuzzlewit, the elder, adopted as a child. ",Who is Mary Graham ?,"An orphan girl Martin , Sr raised to be his nursemaid","Mary Graham is the orphan Martin Chuzzlewit , the elder , adopted as a child ."
5f6df6afc107cfc05dd4bfc6fe963ae89aa9ab7f,train,Who is Uriah Heep?,Mr. Wickfiel's 15 year old secretary,Wickfield's secretary,Who is Uriah Heep ?,Mr. Wickfiel s 15 year old secretary,Wickfield s secretary
5f6df6afc107cfc05dd4bfc6fe963ae89aa9ab7f,train,Who is Agnes?,David's confidant and Mr. Wickfield's daughter.,The woman David marries eventually.,Who is Agnes ?,David s confidant and Mr. Wickfield s daughter .,The woman David marries eventually .
5fc06920c10c190e4abcbe8f68803a7025cc0889,train,Who is Tatiana?,Grant's daughter,Grant's daughter.,Who is Tatiana ?,Grant s daughter,Grant s daughter .
5fc06920c10c190e4abcbe8f68803a7025cc0889,train,Who was Sophina?,Grant's girlfriend.,oscar grant's girlfriend,Who was Sophina ?,Grant s girlfriend .,oscar grant s girlfriend
6023bce51da121490e56cac51d6e1048afbcf89b,train,Who is Abigail Prim? ,The banker's daughter.,"Daughter of Jonas Prim, president of the bank.",Who is Abigail Prim ?,The banker s daughter .,"Daughter of Jonas Prim , president of the bank ."
6031da6fa93ad9cac1b6da6586010aab81c7b4da,train,Who is Elsa's younger sister?,Anna,Anna,Who is Elsa s younger sister ?,Anna,Anna
6031da6fa93ad9cac1b6da6586010aab81c7b4da,train,Who is Olaf?,Childhood snowman of Elsa and Anna ,Elsa and Anna's childhood snowman.,Who is Olaf ?,Childhood snowman of Elsa and Anna,Elsa and Anna s childhood snowman .
60510bf4be495aeb1b4640a7a058b4ae7c04b884,test,Who is McTeague?,A Dentist.,He is a poor dentist.,Who is McTeague ?,A Dentist .,He is a poor dentist .
60510bf4be495aeb1b4640a7a058b4ae7c04b884,test,Who is Marcus?,McTeague's bestfriend,McTeague's best friend.,Who is Marcus ?,McTeague s bestfriend,McTeague s best friend .
608b8bcc44bdd6e1c03517468ebad835aa98ec28,test,WHO IS BEAUMELLE TO ROCHMONT?,HIS DAUGHTER,his daughter,WHO IS BEAUMELLE TO ROCHMONT ?,HIS DAUGHTER,his daughter
608b8bcc44bdd6e1c03517468ebad835aa98ec28,test,WHO IS BELLEPERT TO BEAUMELLE?,HER WAITING WOMAN,Bellepert is her lady in waiting,WHO IS BELLEPERT TO BEAUMELLE ?,HER WAITING WOMAN,Bellepert is her lady in waiting
618d2f89837edfa994dc76be81ddfb7a39434754,train,Who is truly the only real anarchist?,Gregory,Gregory ,Who is truly the only real anarchist ?,Gregory,Gregory
625ee9d399b8fa5b0921bb3263a5547872ca4f77,train,Who is Barbara's daughter?,Rachel,Rachel,Who is Barbara s daughter ?,Rachel,Rachel
63485ebd4514f71b23d90f8f49515688feed7d63,train,"Who is Mary's ex-boyfriend, Brett?",NFL Quarterback Brett Favre.,Brett Favre,"Who is Mary s ex-boyfriend , Brett ?",NFL Quarterback Brett Favre .,Brett Favre
634abf83f11ee4449864e1c391b0456b3fdbdf64,train,Who was Jennifer's first victim?,Ahmet,Ahmet,Who was Jennifer s first victim ?,Ahmet,Ahmet
634abf83f11ee4449864e1c391b0456b3fdbdf64,train,Who is Jennifer's third victim?,Colin,Chip,Who is Jennifer s third victim ?,Colin,Chip
64de615fe8d7b550c3f9ce72e55bab8ebac69b2f,train,Who is Mrs. Vanderhei?,Tim's former teacher,Tim's former techer,Who is Mrs. Vanderhei ?,Tim s former teacher,Tim s former techer
66b2162649e752116e5f975088df9d7ee7f8401a,train,Who is Prospero?,He is a prince.,A prince.,Who is Prospero ?,He is a prince .,A prince .
67161aa1a00a7151b4b0d43229d177363f8c5568,train,Who is Rodolphe Boulange?,A rich landowner who starts an affair with Emma.,A rich landowner.,Who is Rodolphe Boulange ?,A rich landowner who starts an affair with Emma .,A rich landowner .
67ca24897196449395daa9886c7fbaceab55c964,train,Who is Joey Lamotta?,Jake's brother,A boxer,Who is Joey Lamotta ?,Jake s brother,A boxer
67ca24897196449395daa9886c7fbaceab55c964,train,Who is Joey's mafia connection?,Salvy Batts,Como,Who is Joey s mafia connection ?,Salvy Batts,Como
681778326e846ea9979ff3aed4ee9668abe7d489,valid,Who is Jani?,A gambler who befriend's Jack,A gambler and robber. ,Who is Jani ?,A gambler who befriend s Jack,A gambler and robber .
68e4c21a5ff3a6ffb04ccdb9831d549b7ebfc90e,train,Who is Sybil Lee to Madeleine Carrington?,Her sister.,her sister,Who is Sybil Lee to Madeleine Carrington ?,Her sister .,her sister
68ee401e0c66832834f605b625d5062b06a59515,train,Who is Freeman's brother?,Anton,Anton,Who is Freeman s brother ?,Anton,Anton
